id,type,question,option_a,option_b,option_c,option_d,correct_options,source,topic
Q2-0138,mc_single,A comb that is antistatic is made from:,hard rubber,graphite,carbon materials,metal,C,Exam 2 #138,Tools
Q2-0139,mc_single,The agency that registers all types of disinfectants sold and used in the United States is:,OSHA,the U.S. Department of Labor,the CDC,the EPA,D,Exam 2 #139,Regulations
Q2-0140,mc_single,The first step in good hygiene is:,not smoking during work hours,using mouthwash,hand washing,brushing your teeth,C,Exam 2 #140,Hygiene
Q2-0141,mc_single,The light rays used in ultraviolet germicidal irradiation to inactivate or destroy microorganisms are:,infrared light,visible light,UVC rays,UVB rays,C,Exam 2 #141,Light Therapy
Q2-0142,mc_single,An example of a pure substance is:,salt water solution,concrete,aluminum foil,powder,B,Exam 2 #142,Chemistry
Q2-0143,mc_single,"When standing, your spine should be:",relaxed,slightly curved,elongated,straight,D,Exam 2 #143,Ergonomics
Q2-0144,mc_single,An example of emulsions used in barbering services are:,soaps,conditioners,powders,hair tonics,B,Exam 2 #144,Products
Q2-0145,mc_single,An electric clipper with a pivot motor would be used to cut:,"thick, coarse, or damp hair",dry and fine hair,thick and dry hair,all types of hair,A,Exam 2 #145,Tools
Q2-0146,mc_single,"When using LEDs, the color light that reduces acne and bacteria is:",blue,yellow,red,green,A,Exam 2 #146,Light Therapy
Q2-0147,mc_single,An example of a physical change is:,oxidation,ice melting to water,burning wood,rusting iron,B,Exam 2 #147,Chemistry
Q2-0148,mc_single,The bone that joins all of the bones of the cranium together is the:,temporal,ethmoid,sphenoid,parietal,C,Exam 2 #148,Anatomy
Q2-0149,mc_single,A pH below 7 indicates a(n):,alkaline solution,neutral solution,acidic solution,logarithmic solution,C,Exam 2 #149,Chemistry
Q2-0150,mc_single,A chemical compound that can exist in all three states of matter depending on its temperature is:,hydrogen,oxygen,water,carbon dioxide,C,Exam 2 #150,Chemistry
