id,type,question,option_a,option_b,option_c,option_d,option_e,correct_options,source,topic
Q-0015,mc_single,The acronym NABBA stands for:,A) National Association of State Board.,B) National Association of Barber Code.,C) National Association of Barber Boards of America.,D) National Association of Barber Code.,,C,Review Questions #15,Organizations
Q-0016,mc_single,The process used to identify long-term and short-term goals is:,A) goal setting.,B) mind mapping.,C) self-actualization.,D) time management.,,A,Review Questions #16,Life Skills
Q-0017,mc_single,"In 2010, the barbering fashion trend that returned for young men was:",A) clean-shaven faces.,B) sideburns.,C) long hair.,D) beards and beard designs.,,D,Review Questions #17,History/Fashion
Q-0018,mc_single,All employees should be instructed in how to use:,A) hydraulic chairs.,B) fire extinguishers.,C) implements.,D) disinfectants.,,B,Review Questions #18,Safety
Q-0019,mc_single,Shears that create patterns and texture in hair are:,A) blending.,B) chunking.,C) thinning.,D) texturing.,,B,Review Questions #19,Tools
Q-0020,mc_single,The soap used in electric latherizers is:,A) liquid cream.,B) hard.,C) vegetable.,D) soft.,,A,Review Questions #20,Equipment
Q-0021,mc_single,Clear thinking is stimulated by:,A) note taking.,B) exercise and recreation.,C) key words and phrases.,D) repetition.,,B,Review Questions #21,Life Skills
Q-0022,mc_single,"When standing to cut hair, your leg position should be:",A) at a 30-degree angle.,B) neutral.,C) hip-width apart.,D) bent forwards.,,C,Review Questions #22,Ergonomics
Q-0023,mc_single,The invasion of body tissues by disease-causing pathogens is a(n):,A) infection.,B) disinfection.,C) contamination.,D) fission.,,A,Review Questions #23,Microbiology
Q-0024,mc_single,The weight and length of the blade relative to the handle is razor:,A) temper.,B) grind.,C) size.,D) balance.,,D,Review Questions #24,Tools
Q-0025,mc_single,The study of tiny structures found in living tissues is:,A) myology.,B) physiology.,C) microscopic anatomy.,D) pathology.,,C,Review Questions #25,Anatomy
Q-0026,mc_single,"When taking notes, using key words or phrases helps to identify:",A) problem-solving activities.,B) main points.,C) tasks and techniques.,D) guidelines.,,B,Review Questions #26,Study Skills
Q-0027,mc_single,"As a professional, you should control your emotions and respond rather than:",A) understand.,B) react.,C) disapprove.,D) listen.,,B,Review Questions #27,Professionalism
Q-0028,mc_single,The tools used for finish and detail work are:,A) detachable-blade clippers.,B) adjustable-blade clippers.,C) metal combs.,D) outliners.,,D,Review Questions #28,Tools
Q-0029,mc_single,Nerve tissue is composed of:,A) interstitial cells.,B) neurons.,C) daughter cells.,D) microscopic cells.,,B,Review Questions #29,Anatomy
Q-0030,mc_single,The pace preferred when stropping is:,A) fast.,B) slow.,C) uneven.,D) moderate.,,D,Review Questions #30,Tools/Techniques
Q-0031,mc_single,"When you align behavior and actions to values, you are demonstrating:",A) discretion.,B) emotional stability.,C) integrity.,D) diplomacy.,,B,Review Questions #31,Ethics
Q-0032,mc_single,Tuberculocidal disinfectants are referred to as:,A) quats.,B) nonpathogenic.,C) infectious.,D) phenolics.,,D,Review Questions #32,Sanitation
Q-0033,mc_single,You should grasp the towel for a towel wrap:,A) tautly.,B) vertically.,C) lengthwise.,D) loosely.,,C,Review Questions #33,Barbering Skills
Q-0034,mc_single,Staphylococci grow in:,A) strings of beads.,B) irregular masses.,C) clusters like bunches of grapes.,D) pairs.,,C,Review Questions #34,Microbiology
Q-0035,mc_single,"The study of the anatomy, structure, and function of the bones is:",A) osteology.,B) histology.,C) myology.,D) pathology.,,A,Review Questions #35,Anatomy
Q-0036,mc_single,One benefit of effective communication skills is:,A) self-promotion.,B) self-confidence.,C) self-checks.,D) self-esteem.,,A,Review Questions #36,Communication
Q-0037,mc_single,Pus is a sign of a:,A) bacterial infection.,B) viral infection.,C) biofilm.,D) parasitic infestation.,,A,Review Questions #37,Microbiology
Q-0038,mc_single,"The part of the cell needed for growth, reproduction, and self-repair is the:",A) cell membrane.,B) cytoplasm.,C) protoplasm.,D) nucleus.,,B,Review Questions #38,Biology
Q-0039,mc_single,Sensory nerves are known as:,A) afferent nerves.,B) axon nerves.,C) efferent nerves.,D) reflex nerves.,,A,Review Questions #39,Anatomy
Q-0040,mc_single,The brain is contained in the:,A) axon terminal.,B) cranium.,C) spinal column.,D) thorax.,,B,Review Questions #40,Anatomy
Q-0041,mc_single,Laws are written by:,A) regulatory departments.,B) federal and state legislatures.,C) health agencies.,D) state boards.,,B,Review Questions #41,Law & Ethics
Q-0042,mc_single,The process that destroys all microbial life including spores is:,A) cleaning.,B) sterilization.,C) sanitizing.,D) disinfecting.,,B,Review Questions #42,Sanitation
Q-0043,mc_single,The largest bone of the arm that extends from the shoulder to the elbow is the:,A) humerus.,B) carpus.,C) radius.,D) ulna.,,A,Review Questions #43,Anatomy
Q-0044,mc_single,The word integument means:,A) bone.,B) map.,C) study of.,D) natural covering.,,D,Review Questions #44,Anatomy
Q-0045,mc_single,Glands that release hormonal secretions directly into the bloodstream are:,A) duct.,B) exocrine.,C) endocrine.,D) hormonal.,,C,Review Questions #45,Anatomy/Physiology
Q-0046,mc_single,"Chemical products that destroy most bacteria, fungi, and viruses on surfaces are:",A) disinfectants.,B) cleansers.,C) sterilizers.,D) sanitizers.,,A,Review Questions #46,Sanitation
Q-0047,mc_single,Antiseptics contain a high volume of:,A) alcohol.,B) ammonium.,C) formaldehyde.,D) sodium hypochlorite.,,A,Review Questions #47,Sanitation
Q-0048,mc_single,Soap in most disinfectants will cause them to become:,A) toxic.,B) harmful.,C) inactive.,D) explosive.,,C,Review Questions #48,Sanitation
Q-0049,mc_single,Clipper guards are known as:,A) attachment combs.,B) hair shapers.,C) edgers.,D) blending shears.,,A,Review Questions #49,Tools
Q-0050,mc_single,The machine that introduces water-soluble products into the skin during a facial is:,A) high frequency.,B) tesla.,C) galvanic.,D) electrotherapy.,,C,Review Questions #50,Equipment
